board_ch,mpv,ix,iy,layer,chi2_ndf,nevent,mc_ch,mc_edep
187,1.51,2,1,4,1.11,4079,-999,-999
40,1.62,2,2,0,1.09,2228,-999,-999
84,1.43,2,2,1,1.17,3528,-999,-999
128,1.43,2,2,2,0.97,3568,-999,-999
172,1.3,2,2,3,1,3730,-999,-999
216,1.65,2,2,4,1.04,3569,-999,-999
25,1.54,2,3,0,0.84,1422,-999,-999
69,1.71,2,3,1,1.18,2483,-999,-999
113,1,2,3,2,0.91,2288,-999,-999
157,1.45,2,3,3,0.93,2424,-999,-999
201,1.08,2,3,4,0.97,2627,-999,-999
43,1.5,3,-2,0,0.89,1229,-999,-999
87,1.15,3,-2,1,5.59,1721,-999,-999
131,1.05,3,-2,2,0.9,1800,-999,-999
175,1.59,3,-2,3,0.96,1951,-999,-999
219,1.68,3,-2,4,1.08,1920,-999,-999
14,1.04,3,-1,0,1.14,1194,-999,-999
58,1.64,3,-1,1,1.15,2206,-999,-999
102,1.6,3,-1,2,0.91,2168,-999,-999
146,1.55,3,-1,3,0.98,2023,-999,-999
190,1.56,3,-1,4,1.18,2077,-999,-999
42,1.56,3,0,0,0.68,1324,-999,-999
86,1.32,3,0,1,1.03,2115,-999,-999
130,0.98,3,0,2,1.03,2156,-999,-999
174,1.43,3,0,3,0.9,2169,-999,-999
218,1.61,3,0,4,0.73,2029,-999,-999
28,1.52,3,1,0,0.98,1229,-999,-999
72,1.52,3,1,1,1,1994,-999,-999
116,1.05,3,1,2,0.9,1899,-999,-999
160,1.5,3,1,3,0.82,2199,-999,-999
204,1.51,3,1,4,0.83,2286,-999,-999
13,1.02,3,2,0,0.8,943,-999,-999
57,1.53,3,2,1,0.93,1834,-999,-999
101,1.18,3,2,2,0.81,1982,-999,-999
145,1.44,3,2,3,1.05,1698,-999,-999
189,1.18,3,2,4,0.94,1778,-999,-999
